TITLE: Bill of Materials
BOM NO: 05-066247-01-c.csv
DATE: 04/28/2023
DESIGN: 02_066247c_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_066247c\worklib\02_066247c_top\bom\bom.log.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
98,1,E017361,IC-ADI 8-CH I2C 12BIT SAR ADC," AD7291BCPZ",QFN20_4X4_PAD2_6X2_6,N/A,N/A,?,U3,ADI," AD7291BCPZ",REL,N/A,N/A,N/A,N/A,N/A,?,?
99,1,E056951,IC-ADI 1.3MHZ STEP-UP DC/DC CONVERTER," LT3460ESC6#PBF",SC70-6H43,N/A,N/A,?,U30,ANALOG DEVICES," LT3460ESC6#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
100,1,E048366,"IC-ADI ULTRALOW NOISE, HIGH PSRR, RF LINEAR REG, 3.3VOUT"," ADP7158ARDZ-3.3",SO8NB-PAD2_3X2_3,N/A,N/A,?,U31,ANALOG DEVICES," ADP7158ARDZ-3.3-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
101,1,E017615,"IC-ADI LOW NOISE, CMOS LDO LINEAR REGULATOR"," ADP7118AUJZ",TSOT-5,N/A,N/A,?,U32,ANALOG DEVICES," ADP7118AUJZ-R7",REL,N/A,N/A,N/A,N/A,1003899,?,?
102,1,E018410,"IC-ADI WIDEBAND FIXED ATTENUATOR FAMILY, DC-25GHz"," HMC652LP2E",DFN6_2X2_PAD0_80X1_40,N/A,N/A,?,U33,ADI," HMC652LP2E",REL,N/A,N/A,N/A,N/A,1004541,?,?
103,1,E048834,IC-ADI MMIC VCO WITH DIVIDE X4," HMC735LP5E",QFN32_5X5_PAD3_8X3_8,N/A,N/A,?,U34,ANALOG DEVICES," HMC735LP5E",REL,N/A,N/A,N/A,N/A,N/A,?,?
104,1,E048131,IC-ADI 2A INTEGRATED HOT SWAP CONTROLLER," LTC4217HFE#PBF",TSSOP20_PAD6_07X2_74,N/A,N/A,?,U36,ANALOG DEVICES," LTC4217HFE#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
105,1,E048756,IC-CMOS HIGH SPEED 7 STAGE BINARY RIPPLE COUNTER," CD74HC4024PWR",TSSOP14,N/A,N/A,?,U37,TEXAS INSTRUMENTS," CD74HC4024PWR",REL,N/A,N/A,N/A,N/A,N/A,?,?
106,1,E015114,IC-TTL 8-INPUT MULTIPLEXER," 74HCT151D,652",SO16,N/A,N/A,?,U38,NXP SEMICONDUCTORS," 74HCT151D,652",REL,N/A,N/A,N/A,N/A,1001440,?,?
107,2,E014553,IC 32KBIT SERIAL EEPROM," 24LC32A-I/ST",TSSOP8,N/A,N/A,?,"U4,U40",MICROCHIP TECHNOLOGY," 24LC32A-I/ST",REL,N/A,N/A,N/A,1638_CAB3,N/A,?,?
